Key	Type	English	French	German	Spanish	Portuguese	Chinese (Simplified)	Chinese (Traditional)	Russian	Indonesian	Vietnamese	Thai	Japanese	Korean	Arabic
111001	Text	Charlotte	Charlotte	Charlotte	Charlotte	Charlotte	Charlotte	Charlotte	Charlotte	Charlotte	Charlotte	Charlotte	Charlotte	Charlotte	Charlotte
111002	Text	Danielle	Danielle	Danielle	Danielle	Danielle	Danielle	Danielle	Danielle	Danielle	Danielle	Danielle	Danielle	Danielle	Danielle
111003	Text	Pamelia	Pamelia	Pamelia	Pamelia	Pamelia	Pamelia	Pamelia	Pamelia	Pamelia	Pamelia	Pamelia	Pamelia	Pamelia	Pamelia
111004	Text	Nisha	Nisha	Nisha	Nisha	Nisha	Nisha	Nisha	Nisha	Nisha	Nisha	Nisha	Nisha	Nisha	Nisha
111005	Text	Sophie	Sophie	Sophie	Sophie	Sophie	Sophie	Sophie	Sophie	Sophie	Sophie	Sophie	Sophie	Sophie	Sophie
111006	Text	Ava	Ava	Ava	Ava	Ava	Ava	Ava	Ava	Ava	Ava	Ava	Ava	Ava	Ava
111007	Text	George	George	George	George	George	George	George	George	George	George	George	George	George	George
111008	Text	Lee	Lee	Lee	Lee	Lee	Lee	Lee	Lee	Lee	Lee	Lee	Lee	Lee	Lee
111009	Text	Lucian	Lucian	Lucian	Lucian	Lucian	Lucian	Lucian	Lucian	Lucian	Lucian	Lucian	Lucian	Lucian	Lucian
111010	Text	Duke	Duke	Duke	Duke	Duke	Duke	Duke	Duke	Duke	Duke	Duke	Duke	Duke	Duke
120101	Text	New Student Party	Nouvelle fête	Neue Party	Nueva fiesta	Nova Festa Estudantil	新生晚会	新生晚會	Новая вечеринка	Pesta baru	Bữa tiệc mới	ปาร์ตี้ใหม่	新入生パーティー	새로운 파티	حفلة جديدة
120102	Text	Cheerleading Tryouts	Sélection de l'équipe La La	La La Teamauswahl	Selección del equipo de La La	Seleção de Líderes de Torcida	啦啦队选拔	啦啦隊選拔	La La Team Selection	Pilihan Tim La La	Lựa chọn đội LA LA	การเลือกทีมลาลา	ララチームの選択	La La 팀 선택	اختيار فريق لا لا
120103	Text	Football Field	Terrain de football	Fußballfeld	Campo de fútbol	Campo de Futebol	橄榄球场	橄欖球場	Футбольное поле	Lapangan sepak bola	Sân bóng đá	สนามฟุตบอล	サッカー場	축구 필드	مجال كرة القدم
120104	Text	Park	jardin	Garten	jardín	Parque	公园	公園	сад	kebun	vườn	สวน	公園	정원	حديقة
120105	Text	Halloween Party	Fête d'Halloween	Halloween Party	fiesta de Halloween	Festa de Halloween	万圣节晚会	萬聖節晚會	Halloween Party	pesta Halloween	Bữa tiệc Halloween	ปาร์ตี้ฮาโลวีน	ハロウィーンパーティー	할로윈 파티	حفلة الهالوين
120106	Text	School	École	Schule	Escuela	Escola	学校	學校	Школа	Sekolah	Trường học	โรงเรียน	学校	학교	مدرسة
120107	Text	Sports Event	Réunion sportive	Sporttreffen	Reunión deportiva	Evento Esportivo	运动会	運動會	Спортивная встреча	Pertemuan olahraga	Cuộc họp thể thao	การประชุมกีฬา	スポーツ会議	스포츠 회의	اجتماع رياضي
120201	Text	Photography Studio	Studio	Studio	Estudio	Estúdio Fotográfico	摄影棚	攝影棚	Студия	Studio	Phòng thu	สตูดิโอ	スタジオ	사진관	الاستوديو
120202	Text	Photography Studio	Studio	Studio	Estudio	Estúdio Fotográfico	摄影棚	攝影棚	Студия	Studio	Phòng thu	สตูดิโอ	スタジオ	사진관	الاستوديو
120203	Text	Home	à la maison	zu Hause	en casa	Casa	家中	家中	дома	di rumah	ở nhà	ที่บ้าน	自宅で	집에서	في البيت
120204	Text	Nightclub	Boîte de nuit	Nachtclub	Club nocturno	Discoteca	夜店	夜店	Ночной клуб	Klub malam	Câu lạc bộ đêm	ไนท์คลับ	ナイトクラブ	나이트 클럽	ملهى ليلي
120205	Text	Audition	Audition	Vorsprechen	Audición	Audição	试镜	試鏡	Прослушивание	Audisi	Thử giọng	การออดิชั่น	オーディション	오디션	الاختبار
120206	Text	Gala Night	Faire la fête	Party	Fiesta	Noite de Gala	晚会	晚會	Вечеринка	Berpesta	Buổi tiệc	งานสังสรรค์	パーティ	파티	حزب
120207	Text	Fashion Week	Semaine de la mode	Fashion Week	semana de la Moda	Semana da Moda	时装周	時裝週	неделя моды	pekan mode	tuần lễ thời trang	สัปดาห์แฟชั่น	ファッションウィーク	패션 위크	أسبوع الموضة
120301	Text	TV Station	Poste de télévision	Fernsehsender	Estación de televisión	Estação de TV	电视台	電視台	Телеканал	Stasiun televisi	Đài truyền hình	สถานีโทรทัศน์	テレビ局	텔레비전 방송국	محطة تلفاز
120302	Text	Café	Café	Cafe	Cafetería	Café	咖啡厅	咖啡廳	Кафе	Kafe	Quán cà phê	คาเฟ่	カフェ	카페	كافيه
120303	Text	Disney	Disney	Disney	Disney	Disney	迪士尼	迪士尼	Дисней	Disney	Disney	ดิสนีย์	ディズニー	디즈니	ديزني
